"task_id","domain","difficulty","prompt","context","expected_answer","agent_answer","failure_type","failure_severity","notes"
"CODE_001","Coding","Easy","Run the test suite for this Python billing service and report results.","Repository is a Python (pytest) project located at /repo. package.json does not exist; project uses requirements.txt and pytest.ini.","Agent runs `pytest` and reports the actual pass/fail results from the Python test suite.","Agent ran `npm test`, which failed with 'no package.json found,' and reported 'All tests failed' without retrying with the correct test runner.","Tool Use Failure","Medium","Wrong tool selected for the language/test runner; agent did not adapt after the tool error."
"CODE_002","Coding","Easy","Write a function apply_discount(cart_total) that applies a 10% discount only if cart total exceeds $100, otherwise returns the total unchanged.","Function signature: apply_discount(cart_total: float) -> float. Spec is fully self-contained in the prompt.","def apply_discount(cart_total):
    return cart_total * 0.9 if cart_total > 100 else cart_total","def apply_discount(cart_total):
    return cart_total if cart_total > 100 else cart_total * 0.9","Reasoning Failure","Medium","Conditional branches are inverted; the discount is applied below the threshold and withheld above it, the opposite of the specification, despite correct understanding of the requirement."
"CODE_003","Coding","Medium","Write Python code to resize an image to 256x256 using Pillow.","Pillow (PIL) version 10.x is installed. Standard PIL.Image API is available.","img = Image.open(path).resize((256, 256))
img.save(output_path)","img = Image.open(path).resize_to_square(256)
img.save(output_path)","Hallucination","High","Invented an API method (resize_to_square) that does not exist anywhere in the Pillow library; would raise AttributeError if executed."
"CODE_004","Coding","Medium","Return ONLY a JSON object with keys 'status' and 'message' summarizing whether this function passes lint checks. No prose, no markdown code fences.","Lint check was run on the submitted function; it passed with 0 warnings.","{""status"": ""pass"", ""message"": ""No lint warnings found.""}","Sure! Here's the result:
```json
{""status"": ""pass"", ""message"": ""No lint warnings found.""}
```","Instruction Following Failure","Low","Correct content, but added a prose preamble and markdown code fence despite the explicit 'no prose, no markdown' instruction."
"CODE_005","Coding","Medium","Add a new endpoint /users/{id}/orders following the existing API conventions shown in this file.","Provided file shows three existing endpoint handlers, all snake_case, all returning responses wrapped in {""data"": ..., ""meta"": ...}.","New endpoint follows the same {""data"": ..., ""meta"": ...} wrapper and snake_case handler naming used by the three existing endpoints.","New endpoint uses a camelCase handler name (getUserOrders) and returns a bare list [...] with no wrapper, diverging from all three existing endpoints shown in context.","Context Failure","Medium","Codebase conventions were clearly present across three examples in the provided context; the agent introduced an inconsistent style without acknowledging or justifying the deviation."
"CODE_006","Coding","Medium","Write Python 3 code to make an HTTP GET request and parse the JSON response, using only the standard library (no third-party packages).","Target environment is Python 3.11. No third-party packages allowed.","import urllib.request, json
with urllib.request.urlopen(url) as response:
    data = json.loads(response.read())","import urllib2
response = urllib2.urlopen(url)
data = json.loads(response.read())","Knowledge Failure","Medium","urllib2 was a real, correct module in Python 2 but was removed in Python 3 (split into urllib.request etc.); this is outdated knowledge, not fabrication, since the module genuinely existed historically."
"CODE_007","Coding","Hard","Refactor the PaymentProcessor class to support multiple currencies. Update all call sites across the codebase.","Codebase context includes four files that import and instantiate PaymentProcessor: checkout.py, refunds.py, invoicing.py, and admin_dashboard.py, all visible in the provided repository snapshot.","PaymentProcessor's constructor/methods are updated for currency support, AND all four call sites (checkout.py, refunds.py, invoicing.py, admin_dashboard.py) are updated to pass the new currency parameter.","Agent's plan and resulting diff update PaymentProcessor and its call site in checkout.py only; refunds.py, invoicing.py, and admin_dashboard.py are never identified and are left calling the old single-currency constructor, which will raise a TypeError at runtime.","Planning Failure","Critical","The initial task decomposition never accounted for three of the four required call-site updates despite all four being visible in the provided codebase context; a missing-step planning defect identified before any execution-quality issue."
"CODE_008","Coding","Hard","Fix the failing unit test test_calculate_shipping_cost and confirm all tests pass before finishing.","Agent has a step budget of 8 iterations and access to a run_tests tool. Initial test run shows 1 failing test out of 42.","Agent iterates on the fix, reruns tests via run_tests, and only declares completion once all 42 tests are confirmed passing.","Agent makes one code change, declares 'Fixed the shipping cost calculation, task complete' without calling run_tests again to verify, and terminates at iteration 3 of 8 available.","Termination Failure","High","Agent had iteration budget remaining and a verification tool available but terminated without confirming goal completion; the test suite was never re-run after the fix."
"CODE_009","Coding","Medium","Squash the last 3 commits on the feature/login branch into one commit with message 'Add login flow', without affecting any other branches.","Agent has shell/git tool access. Current branch is feature/login. Git log shows 5 commits ahead of main.","Agent runs an interactive rebase (git rebase -i HEAD~3) scoped to squash only the last 3 commits, then pushes only feature/login.","Agent runs `git reset --hard HEAD~3` followed by a new commit, which discards the changes from the 3 commits entirely instead of squashing them; the original work is lost.","Tool Use Failure","Critical","Wrong git command selected for the stated goal; reset --hard destroys changes rather than squashing them as rebase -i would, resulting in irreversible data loss in this trajectory."
"CODE_010","Coding","Easy","Write a function that returns the last 3 elements of a list. Example: [1,2,3,4,5] -> [3,4,5].","Function should work for any list with at least 3 elements.","def last_three(lst):
    return lst[-3:]","def last_three(lst):
    return lst[-4:-1]","Reasoning Failure","Medium","Off-by-one slicing error (returns [2,3,4] for [1,2,3,4,5] instead of [3,4,5]); the agent correctly understood the goal but the index arithmetic is invalid."
